from,to,path
2,91,86;134;131;147;141
2,96,100;132;51;56;116;148
2,97,100;132;51
2,98,86;44;71;139;145;8;120
2,98,86;44;71;139;145;55;120
2,98,100;132;51;56;116;10;120
2,98,100;132;51;56;116;88;120
2,98,100;132;51;56;116;148;120
2,99,100;132;51;72;128;36
2,101,86;134;131;32;158
2,101,107;28;27;32;158
2,101,86;28;27;32;158
2,101,86;134;27;32;158
2,101,86;134;131;32;141
2,101,107;28;27;32;141
2,101,86;28;27;32;141
2,101,86;134;27;32;141
2,101,86;134;131;75;141
2,101,86;134;49;75;141
2,101,86;134;131;147;141
2,102,86;134;131;32;158
2,102,107;28;27;32;158
2,102,86;28;27;32;158
2,102,86;134;27;32;158
2,102,107;28;27;33;4
2,102,86;28;27;33;4
2,102,86;134;27;33;4
2,102,107;28;25;33;4
2,102,86;28;25;33;4
2,102,107;108;25;33;4
2,102,86;134;131;32;4
2,102,107;28;27;32;4
2,102,86;28;27;32;4
2,102,86;134;27;32;4
2,104,100;132;51;56
2,104,100;132;51;11
2,108,107
2,109,86;44;71;139;145;8;120
2,109,86;44;71;139;145;55;120
2,109,100;132;51;56;116;10;120
2,109,100;132;51;56;116;88;120
2,109,100;132;51;56;116;148;120
2,110,86;44;71;73;123
2,111,86;44;71;139;69;68
2,111,86;44;71;73;69;68
2,111,86;44;71;139;145;68
2,116,100;132;51;56
2,117,100;132
2,118,86;44;71;73;123
2,119,100;132;51;56;116;148
2,119,100;132;51;138;7;65
2,119,100;132;51;72;7;65
2,119,100;132;51;56;7;65
2,119,100;132;51;72;128;65
2,119,86;44;71;139;145;20
2,120,100;132;51;56;116;148
2,120,100;132;51;56;116;88
2,120,100;132;51;56;116;10
2,120,86;44;71;139;145;55
2,120,86;44;71;139;145;8
2,121,86;134;131;147
2,121,86;134;27;32
2,121,86;28;27;32
2,121,107;28;27;32
2,121,86;134;131;32
2,122,100;132;51;72
2,123,86;44;71;73
2,124,94
2,124,93
2,125,100;132;51;72;128;36
2,125,100;132;51;138;7;65
2,125,100;132;51;72;7;65
2,125,100;132;51;56;7;65
2,125,100;132;51;72;128;65
2,125,86;44;71;139;145;20
2,126,93;60
2,127,100;132;51;56;116
2,127,100;132;51;56;38
2,127,100;132;51;56;7
2,127,100;132;51;72;7
2,127,100;132;51;138;7
2,128,100;132;51;72
2,129,86;134;49
2,130,86;134;27;32;158;159
2,130,86;28;27;32;158;159
2,130,107;28;27;32;158;159
2,130,86;134;131;32;158;159
2,130,86;134;27;32;158;17
2,130,86;28;27;32;158;17
2,130,107;28;27;32;158;17
2,130,86;134;131;32;158;17
2,130,86;134;131;147;141;101
2,130,86;134;49;75;141;101
2,130,86;134;131;75;141;101
2,130,86;134;27;32;141;101
2,130,86;28;27;32;141;101
2,130,107;28;27;32;141;101
2,130,86;134;131;32;141;101
2,130,86;134;27;32;158;101
2,130,86;28;27;32;158;101
2,130,107;28;27;32;158;101
2,130,86;134;131;32;158;101
2,130,86;134;27;32;4;102
2,130,86;28;27;32;4;102
2,130,107;28;27;32;4;102
2,130,86;134;131;32;4;102
2,130,107;108;25;33;4;102
2,130,86;28;25;33;4;102
2,130,107;28;25;33;4;102
2,130,86;134;27;33;4;102
2,130,86;28;27;33;4;102
2,130,107;28;27;33;4;102
2,130,86;134;27;32;158;102
2,130,86;28;27;32;158;102
2,130,107;28;27;32;158;102
2,130,86;134;131;32;158;102
2,131,86;134
2,132,100
2,134,86
2,136,86;134;131;147;141;101
2,136,86;134;49;75;141;101
2,136,86;134;131;75;141;101
2,136,86;134;27;32;141;101
2,136,86;28;27;32;141;101
2,136,107;28;27;32;141;101
2,136,86;134;131;32;141;101
2,136,86;134;27;32;158;101
2,136,86;28;27;32;158;101
2,136,107;28;27;32;158;101
2,136,86;134;131;32;158;101
2,138,100;132;51
2,139,86;44;71
2,140,86;44;71;139;145;68;0
2,140,86;44;71;73;69;68;0
2,140,86;44;71;139;69;68;0
2,141,86;134;131;147
2,141,86;134;49;75
2,141,86;134;131;75
2,141,86;134;27;32
2,141,86;28;27;32
2,141,107;28;27;32
2,141,86;134;131;32
2,143,107;13
2,143,93;21
2,143,107;21
2,145,86;44;71;139
2,146,86;44;71;139;69;68
2,146,86;44;71;73;69;68
2,146,86;44;71;139;145;68
2,147,86;134;131
2,148,100;132;51;56;116
2,149,86;44;71;73;123
2,153,86;44;71;139;145;68;146
2,153,86;44;71;73;69;68;146
2,153,86;44;71;139;69;68;146
2,153,86;44;71;139;145;68;0
2,153,86;44;71;73;69;68;0
2,153,86;44;71;139;69;68;0
2,154,100;132;51;72
2,157,86;44;71;73;123
2,158,86;134;27;32
2,158,86;28;27;32
2,158,107;28;27;32
2,158,86;134;131;32
2,159,86;134;131;32;158
2,159,107;28;27;32;158
2,159,86;28;27;32;158
2,159,86;134;27;32;158
2,160,100;132
